Tegund launa;Launatafla;Dagsetning;Upphæð;Í gildi
Mánaðarlaun;653-128-0 (Kjölur, BSRB og SÍS);01.04.2023;473.875;Y
Mánaðarlaun;653-128-10 (Kjölur, BSRB og SÍS);01.04.2023;521.263;Y
Mánaðarlaun;653-128-12 (Kjölur, BSRB og SÍS);01.04.2023;530.740;Y
Mánaðarlaun;653-128-14 (Kjölur, BSRB og SÍS);01.04.2023;540.218;Y
Mánaðarlaun;653-128-16 (Kjölur, BSRB og SÍS);01.04.2023;549.695;Y
Mánaðarlaun;653-128-2 (Kjölur, BSRB og SÍS);01.04.2023;483.353;Y
Mánaðarlaun;653-128-4 (Kjölur, BSRB og SÍS);01.04.2023;492.830;Y
Mánaðarlaun;653-128-6 (Kjölur, BSRB og SÍS);01.04.2023;502.308;Y
Mánaðarlaun;653-128-8 (Kjölur, BSRB og SÍS);01.04.2023;511.785;Y
Mánaðarlaun;653-129-0 (Kjölur, BSRB og SÍS);01.04.2023;477.886;Y
Mánaðarlaun;653-129-10 (Kjölur, BSRB og SÍS);01.04.2023;525.675;Y
Mánaðarlaun;653-129-12 (Kjölur, BSRB og SÍS);01.04.2023;535.232;Y
Mánaðarlaun;653-129-14 (Kjölur, BSRB og SÍS);01.04.2023;544.790;Y
Mánaðarlaun;653-129-16 (Kjölur, BSRB og SÍS);01.04.2023;554.348;Y
Mánaðarlaun;653-129-2 (Kjölur, BSRB og SÍS);01.04.2023;487.444;Y
Mánaðarlaun;653-129-4 (Kjölur, BSRB og SÍS);01.04.2023;497.001;Y
Mánaðarlaun;653-129-6 (Kjölur, BSRB og SÍS);01.04.2023;506.559;Y
Mánaðarlaun;653-129-8 (Kjölur, BSRB og SÍS);01.04.2023;516.117;Y
Mánaðarlaun;653-130-0 (Kjölur, BSRB og SÍS);01.04.2023;481.940;Y
Mánaðarlaun;653-130-10 (Kjölur, BSRB og SÍS);01.04.2023;530.134;Y
Mánaðarlaun;653-130-12 (Kjölur, BSRB og SÍS);01.04.2023;539.773;Y
Mánaðarlaun;653-130-14 (Kjölur, BSRB og SÍS);01.04.2023;549.412;Y
Mánaðarlaun;653-130-16 (Kjölur, BSRB og SÍS);01.04.2023;559.050;Y
Mánaðarlaun;653-130-2 (Kjölur, BSRB og SÍS);01.04.2023;491.579;Y
Mánaðarlaun;653-130-4 (Kjölur, BSRB og SÍS);01.04.2023;501.218;Y
Mánaðarlaun;653-130-6 (Kjölur, BSRB og SÍS);01.04.2023;510.856;Y
Mánaðarlaun;653-130-8 (Kjölur, BSRB og SÍS);01.04.2023;520.495;Y
Mánaðarlaun;653-131-0 (Kjölur, BSRB og SÍS);01.04.2023;486.037;Y
Mánaðarlaun;653-131-10 (Kjölur, BSRB og SÍS);01.04.2023;534.641;Y
Mánaðarlaun;653-131-12 (Kjölur, BSRB og SÍS);01.04.2023;544.361;Y
Mánaðarlaun;653-131-14 (Kjölur, BSRB og SÍS);01.04.2023;554.082;Y
Mánaðarlaun;653-131-16 (Kjölur, BSRB og SÍS);01.04.2023;563.803;Y
Mánaðarlaun;653-131-2 (Kjölur, BSRB og SÍS);01.04.2023;495.758;Y
Mánaðarlaun;653-131-4 (Kjölur, BSRB og SÍS);01.04.2023;505.478;Y
Mánaðarlaun;653-131-6 (Kjölur, BSRB og SÍS);01.04.2023;515.199;Y
Mánaðarlaun;653-131-8 (Kjölur, BSRB og SÍS);01.04.2023;524.920;Y
Mánaðarlaun;653-132-0 (Kjölur, BSRB og SÍS);01.04.2023;490.182;Y
Mánaðarlaun;653-132-10 (Kjölur, BSRB og SÍS);01.04.2023;539.200;Y
Mánaðarlaun;653-132-12 (Kjölur, BSRB og SÍS);01.04.2023;549.004;Y
Mánaðarlaun;653-132-14 (Kjölur, BSRB og SÍS);01.04.2023;558.807;Y
Mánaðarlaun;653-132-16 (Kjölur, BSRB og SÍS);01.04.2023;568.611;Y
Mánaðarlaun;653-132-2 (Kjölur, BSRB og SÍS);01.04.2023;499.986;Y
Mánaðarlaun;653-132-4 (Kjölur, BSRB og SÍS);01.04.2023;509.789;Y
Mánaðarlaun;653-132-6 (Kjölur, BSRB og SÍS);01.04.2023;519.593;Y
Mánaðarlaun;653-132-8 (Kjölur, BSRB og SÍS);01.04.2023;529.397;Y
Mánaðarlaun;653-133-0 (Kjölur, BSRB og SÍS);01.04.2023;494.371;Y
Mánaðarlaun;653-133-10 (Kjölur, BSRB og SÍS);01.04.2023;543.808;Y
Mánaðarlaun;653-133-12 (Kjölur, BSRB og SÍS);01.04.2023;553.696;Y
Mánaðarlaun;653-133-14 (Kjölur, BSRB og SÍS);01.04.2023;563.583;Y
Mánaðarlaun;653-133-16 (Kjölur, BSRB og SÍS);01.04.2023;573.470;Y
Mánaðarlaun;653-133-2 (Kjölur, BSRB og SÍS);01.04.2023;504.258;Y
Mánaðarlaun;653-133-4 (Kjölur, BSRB og SÍS);01.04.2023;514.146;Y
Mánaðarlaun;653-133-6 (Kjölur, BSRB og SÍS);01.04.2023;524.033;Y
Mánaðarlaun;653-133-8 (Kjölur, BSRB og SÍS);01.04.2023;533.921;Y
Mánaðarlaun;653-134-0 (Kjölur, BSRB og SÍS);01.04.2023;498.605;Y
Mánaðarlaun;653-134-10 (Kjölur, BSRB og SÍS);01.04.2023;548.466;Y
Mánaðarlaun;653-134-12 (Kjölur, BSRB og SÍS);01.04.2023;558.438;Y
Mánaðarlaun;653-134-14 (Kjölur, BSRB og SÍS);01.04.2023;568.410;Y
Mánaðarlaun;653-134-16 (Kjölur, BSRB og SÍS);01.04.2023;578.382;Y
Mánaðarlaun;653-134-2 (Kjölur, BSRB og SÍS);01.04.2023;508.577;Y
Mánaðarlaun;653-134-4 (Kjölur, BSRB og SÍS);01.04.2023;518.549;Y
Mánaðarlaun;653-134-6 (Kjölur, BSRB og SÍS);01.04.2023;528.521;Y
Mánaðarlaun;653-134-8 (Kjölur, BSRB og SÍS);01.04.2023;538.493;Y
Mánaðarlaun;653-135-0 (Kjölur, BSRB og SÍS);01.04.2023;502.888;Y
Mánaðarlaun;653-135-10 (Kjölur, BSRB og SÍS);01.04.2023;553.177;Y
Mánaðarlaun;653-135-12 (Kjölur, BSRB og SÍS);01.04.2023;563.235;Y
Mánaðarlaun;653-135-14 (Kjölur, BSRB og SÍS);01.04.2023;573.292;Y
Mánaðarlaun;653-135-16 (Kjölur, BSRB og SÍS);01.04.2023;583.350;Y
Mánaðarlaun;653-135-2 (Kjölur, BSRB og SÍS);01.04.2023;512.946;Y
Mánaðarlaun;653-135-4 (Kjölur, BSRB og SÍS);01.04.2023;523.004;Y
Mánaðarlaun;653-135-6 (Kjölur, BSRB og SÍS);01.04.2023;533.061;Y
Mánaðarlaun;653-135-8 (Kjölur, BSRB og SÍS);01.04.2023;543.119;Y
Mánaðarlaun;653-136-0 (Kjölur, BSRB og SÍS);01.04.2023;507.217;Y
Mánaðarlaun;653-136-10 (Kjölur, BSRB og SÍS);01.04.2023;557.939;Y
Mánaðarlaun;653-136-12 (Kjölur, BSRB og SÍS);01.04.2023;568.083;Y
Mánaðarlaun;653-136-14 (Kjölur, BSRB og SÍS);01.04.2023;578.227;Y
Mánaðarlaun;653-136-16 (Kjölur, BSRB og SÍS);01.04.2023;588.372;Y
Mánaðarlaun;653-136-2 (Kjölur, BSRB og SÍS);01.04.2023;517.361;Y
Mánaðarlaun;653-136-4 (Kjölur, BSRB og SÍS);01.04.2023;527.506;Y
Mánaðarlaun;653-136-6 (Kjölur, BSRB og SÍS);01.04.2023;537.650;Y
Mánaðarlaun;653-136-8 (Kjölur, BSRB og SÍS);01.04.2023;547.794;Y
Mánaðarlaun;653-137-0 (Kjölur, BSRB og SÍS);01.04.2023;511.593;Y
Mánaðarlaun;653-137-10 (Kjölur, BSRB og SÍS);01.04.2023;562.752;Y
Mánaðarlaun;653-137-12 (Kjölur, BSRB og SÍS);01.04.2023;572.984;Y
Mánaðarlaun;653-137-14 (Kjölur, BSRB og SÍS);01.04.2023;583.216;Y
Mánaðarlaun;653-137-16 (Kjölur, BSRB og SÍS);01.04.2023;593.448;Y
Mánaðarlaun;653-137-2 (Kjölur, BSRB og SÍS);01.04.2023;521.825;Y
Mánaðarlaun;653-137-4 (Kjölur, BSRB og SÍS);01.04.2023;532.057;Y
Mánaðarlaun;653-137-6 (Kjölur, BSRB og SÍS);01.04.2023;542.289;Y
Mánaðarlaun;653-137-8 (Kjölur, BSRB og SÍS);01.04.2023;552.520;Y
Mánaðarlaun;653-138-0 (Kjölur, BSRB og SÍS);01.04.2023;516.018;Y
Mánaðarlaun;653-138-10 (Kjölur, BSRB og SÍS);01.04.2023;567.620;Y
Mánaðarlaun;653-138-12 (Kjölur, BSRB og SÍS);01.04.2023;577.940;Y
Mánaðarlaun;653-138-14 (Kjölur, BSRB og SÍS);01.04.2023;588.261;Y
Mánaðarlaun;653-138-16 (Kjölur, BSRB og SÍS);01.04.2023;598.581;Y
Mánaðarlaun;653-138-2 (Kjölur, BSRB og SÍS);01.04.2023;526.338;Y
Mánaðarlaun;653-138-4 (Kjölur, BSRB og SÍS);01.04.2023;536.659;Y
Mánaðarlaun;653-138-6 (Kjölur, BSRB og SÍS);01.04.2023;546.979;Y
Mánaðarlaun;653-138-8 (Kjölur, BSRB og SÍS);01.04.2023;557.299;Y
Mánaðarlaun;653-139-0 (Kjölur, BSRB og SÍS);01.04.2023;520.492;Y
Mánaðarlaun;653-139-10 (Kjölur, BSRB og SÍS);01.04.2023;572.541;Y
Mánaðarlaun;653-139-12 (Kjölur, BSRB og SÍS);01.04.2023;582.951;Y
Mánaðarlaun;653-139-14 (Kjölur, BSRB og SÍS);01.04.2023;593.361;Y
Mánaðarlaun;653-139-16 (Kjölur, BSRB og SÍS);01.04.2023;603.771;Y
Mánaðarlaun;653-139-2 (Kjölur, BSRB og SÍS);01.04.2023;530.902;Y
Mánaðarlaun;653-139-4 (Kjölur, BSRB og SÍS);01.04.2023;541.312;Y
Mánaðarlaun;653-139-6 (Kjölur, BSRB og SÍS);01.04.2023;551.722;Y
Mánaðarlaun;653-139-8 (Kjölur, BSRB og SÍS);01.04.2023;562.131;Y
Mánaðarlaun;653-140-0 (Kjölur, BSRB og SÍS);01.04.2023;525.013;Y
Mánaðarlaun;653-140-10 (Kjölur, BSRB og SÍS);01.04.2023;577.514;Y
Mánaðarlaun;653-140-12 (Kjölur, BSRB og SÍS);01.04.2023;588.015;Y
Mánaðarlaun;653-140-14 (Kjölur, BSRB og SÍS);01.04.2023;598.515;Y
Mánaðarlaun;653-140-16 (Kjölur, BSRB og SÍS);01.04.2023;609.015;Y
Mánaðarlaun;653-140-2 (Kjölur, BSRB og SÍS);01.04.2023;535.513;Y
Mánaðarlaun;653-140-4 (Kjölur, BSRB og SÍS);01.04.2023;546.014;Y
Mánaðarlaun;653-140-6 (Kjölur, BSRB og SÍS);01.04.2023;556.514;Y
Mánaðarlaun;653-140-8 (Kjölur, BSRB og SÍS);01.04.2023;567.014;Y
Mánaðarlaun;653-141-0 (Kjölur, BSRB og SÍS);01.04.2023;529.585;Y
Mánaðarlaun;653-141-10 (Kjölur, BSRB og SÍS);01.04.2023;582.544;Y
Mánaðarlaun;653-141-12 (Kjölur, BSRB og SÍS);01.04.2023;593.135;Y
Mánaðarlaun;653-141-14 (Kjölur, BSRB og SÍS);01.04.2023;603.727;Y
Mánaðarlaun;653-141-16 (Kjölur, BSRB og SÍS);01.04.2023;614.319;Y
Mánaðarlaun;653-141-2 (Kjölur, BSRB og SÍS);01.04.2023;540.177;Y
Mánaðarlaun;653-141-4 (Kjölur, BSRB og SÍS);01.04.2023;550.768;Y
Mánaðarlaun;653-141-6 (Kjölur, BSRB og SÍS);01.04.2023;561.360;Y
Mánaðarlaun;653-141-8 (Kjölur, BSRB og SÍS);01.04.2023;571.952;Y
Mánaðarlaun;653-142-0 (Kjölur, BSRB og SÍS);01.04.2023;534.208;Y
Mánaðarlaun;653-142-10 (Kjölur, BSRB og SÍS);01.04.2023;587.629;Y
Mánaðarlaun;653-142-12 (Kjölur, BSRB og SÍS);01.04.2023;598.313;Y
Mánaðarlaun;653-142-14 (Kjölur, BSRB og SÍS);01.04.2023;608.997;Y
Mánaðarlaun;653-142-16 (Kjölur, BSRB og SÍS);01.04.2023;619.681;Y
Mánaðarlaun;653-142-2 (Kjölur, BSRB og SÍS);01.04.2023;544.892;Y
Mánaðarlaun;653-142-4 (Kjölur, BSRB og SÍS);01.04.2023;555.576;Y
Mánaðarlaun;653-142-6 (Kjölur, BSRB og SÍS);01.04.2023;566.260;Y
Mánaðarlaun;653-142-8 (Kjölur, BSRB og SÍS);01.04.2023;576.945;Y
Mánaðarlaun;653-143-0 (Kjölur, BSRB og SÍS);01.04.2023;538.882;Y
Mánaðarlaun;653-143-10 (Kjölur, BSRB og SÍS);01.04.2023;592.770;Y
Mánaðarlaun;653-143-12 (Kjölur, BSRB og SÍS);01.04.2023;603.548;Y
Mánaðarlaun;653-143-14 (Kjölur, BSRB og SÍS);01.04.2023;614.325;Y
Mánaðarlaun;653-143-16 (Kjölur, BSRB og SÍS);01.04.2023;625.103;Y
Mánaðarlaun;653-143-2 (Kjölur, BSRB og SÍS);01.04.2023;549.660;Y
Mánaðarlaun;653-143-4 (Kjölur, BSRB og SÍS);01.04.2023;560.437;Y
Mánaðarlaun;653-143-6 (Kjölur, BSRB og SÍS);01.04.2023;571.215;Y
Mánaðarlaun;653-143-8 (Kjölur, BSRB og SÍS);01.04.2023;581.993;Y
Mánaðarlaun;653-144-0 (Kjölur, BSRB og SÍS);01.04.2023;543.608;Y
Mánaðarlaun;653-144-10 (Kjölur, BSRB og SÍS);01.04.2023;597.969;Y
Mánaðarlaun;653-144-12 (Kjölur, BSRB og SÍS);01.04.2023;608.841;Y
Mánaðarlaun;653-144-14 (Kjölur, BSRB og SÍS);01.04.2023;619.713;Y
Mánaðarlaun;653-144-16 (Kjölur, BSRB og SÍS);01.04.2023;630.585;Y
Mánaðarlaun;653-144-2 (Kjölur, BSRB og SÍS);01.04.2023;554.480;Y
Mánaðarlaun;653-144-4 (Kjölur, BSRB og SÍS);01.04.2023;565.352;Y
Mánaðarlaun;653-144-6 (Kjölur, BSRB og SÍS);01.04.2023;576.224;Y
Mánaðarlaun;653-144-8 (Kjölur, BSRB og SÍS);01.04.2023;587.097;Y
Mánaðarlaun;653-145-0 (Kjölur, BSRB og SÍS);01.04.2023;548.384;Y
Mánaðarlaun;653-145-10 (Kjölur, BSRB og SÍS);01.04.2023;603.222;Y
Mánaðarlaun;653-145-12 (Kjölur, BSRB og SÍS);01.04.2023;614.190;Y
Mánaðarlaun;653-145-14 (Kjölur, BSRB og SÍS);01.04.2023;625.158;Y
Mánaðarlaun;653-145-16 (Kjölur, BSRB og SÍS);01.04.2023;636.125;Y
Mánaðarlaun;653-145-2 (Kjölur, BSRB og SÍS);01.04.2023;559.352;Y
Mánaðarlaun;653-145-4 (Kjölur, BSRB og SÍS);01.04.2023;570.319;Y
Mánaðarlaun;653-145-6 (Kjölur, BSRB og SÍS);01.04.2023;581.287;Y
Mánaðarlaun;653-145-8 (Kjölur, BSRB og SÍS);01.04.2023;592.255;Y
Mánaðarlaun;653-146-0 (Kjölur, BSRB og SÍS);01.04.2023;553.213;Y
Mánaðarlaun;653-146-10 (Kjölur, BSRB og SÍS);01.04.2023;608.534;Y
Mánaðarlaun;653-146-12 (Kjölur, BSRB og SÍS);01.04.2023;619.599;Y
Mánaðarlaun;653-146-14 (Kjölur, BSRB og SÍS);01.04.2023;630.663;Y
Mánaðarlaun;653-146-16 (Kjölur, BSRB og SÍS);01.04.2023;641.727;Y
Mánaðarlaun;653-146-2 (Kjölur, BSRB og SÍS);01.04.2023;564.277;Y
Mánaðarlaun;653-146-4 (Kjölur, BSRB og SÍS);01.04.2023;575.342;Y
Mánaðarlaun;653-146-6 (Kjölur, BSRB og SÍS);01.04.2023;586.406;Y
Mánaðarlaun;653-146-8 (Kjölur, BSRB og SÍS);01.04.2023;597.470;Y
Mánaðarlaun;653-147-0 (Kjölur, BSRB og SÍS);01.04.2023;558.096;Y
Mánaðarlaun;653-147-10 (Kjölur, BSRB og SÍS);01.04.2023;613.906;Y
Mánaðarlaun;653-147-12 (Kjölur, BSRB og SÍS);01.04.2023;625.068;Y
Mánaðarlaun;653-147-14 (Kjölur, BSRB og SÍS);01.04.2023;636.229;Y
Mánaðarlaun;653-147-16 (Kjölur, BSRB og SÍS);01.04.2023;647.391;Y
Mánaðarlaun;653-147-2 (Kjölur, BSRB og SÍS);01.04.2023;569.258;Y
Mánaðarlaun;653-147-4 (Kjölur, BSRB og SÍS);01.04.2023;580.420;Y
Mánaðarlaun;653-147-6 (Kjölur, BSRB og SÍS);01.04.2023;591.582;Y
Mánaðarlaun;653-147-8 (Kjölur, BSRB og SÍS);01.04.2023;602.744;Y
Mánaðarlaun;653-148-0 (Kjölur, BSRB og SÍS);01.04.2023;563.033;Y
Mánaðarlaun;653-148-10 (Kjölur, BSRB og SÍS);01.04.2023;619.336;Y
Mánaðarlaun;653-148-12 (Kjölur, BSRB og SÍS);01.04.2023;630.597;Y
Mánaðarlaun;653-148-14 (Kjölur, BSRB og SÍS);01.04.2023;641.858;Y
Mánaðarlaun;653-148-16 (Kjölur, BSRB og SÍS);01.04.2023;653.118;Y
Mánaðarlaun;653-148-2 (Kjölur, BSRB og SÍS);01.04.2023;574.294;Y
Mánaðarlaun;653-148-4 (Kjölur, BSRB og SÍS);01.04.2023;585.554;Y
Mánaðarlaun;653-148-6 (Kjölur, BSRB og SÍS);01.04.2023;596.815;Y
Mánaðarlaun;653-148-8 (Kjölur, BSRB og SÍS);01.04.2023;608.076;Y
Mánaðarlaun;653-149-0 (Kjölur, BSRB og SÍS);01.04.2023;568.023;Y
Mánaðarlaun;653-149-10 (Kjölur, BSRB og SÍS);01.04.2023;624.825;Y
Mánaðarlaun;653-149-12 (Kjölur, BSRB og SÍS);01.04.2023;636.186;Y
Mánaðarlaun;653-149-14 (Kjölur, BSRB og SÍS);01.04.2023;647.546;Y
Mánaðarlaun;653-149-16 (Kjölur, BSRB og SÍS);01.04.2023;658.907;Y
Mánaðarlaun;653-149-2 (Kjölur, BSRB og SÍS);01.04.2023;579.383;Y
Mánaðarlaun;653-149-4 (Kjölur, BSRB og SÍS);01.04.2023;590.744;Y
Mánaðarlaun;653-149-6 (Kjölur, BSRB og SÍS);01.04.2023;602.104;Y
